libfyaml 0.9-1
libgcrypt 1.11.2-1
libgee 0.20.8-1
libgirepository 1.86.0-1
libgit2 1:1.9.2-1
libgksu 2.0.12-9
libglvnd 1.7.0-3
libgnome-keyring 1:3.12.0+r14+g23438cc-1
libgnomekbd 1:3.28.1-1
libgpg-error 1.56-1
libgtop 2.41.3-2
libgudev 238-3
libice 1.1.2-1
libid3tag 0.16.3-2
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-1
libimobiledevice 1.4.0-1
libimobiledevice-glue 1.3.2-1
libinih 61-1
libinput 1.30.1-1
libisl 0.27-1
libjpeg-turbo 3.1.2-1
libjxl 0.11.1-5
libksba 1.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-2
libliftoff 0.5.0-1
liblouis 3.35.0-1
libluv 1.51.0-1
libmad 0.15.1b-10
libmd 1.1.0-2
libmfx 23.2.2-5
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpdclient 2.23-1
libmysofa 1.3.3-1
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.68.0-1
libnghttp3 1.13.1-1
libngtcp2 1.18.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.54.2-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.7-1
libnsl 2.0.1-1
libnvme 1.16.1-1
libogg 1.3.6-1
libopenmpt 0.8.3-1
libp11-kit 0.25.10-2
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.4.9-2
libplacebo 7.351.0-3
libplist 2.7.0-1
libpng 1.6.53-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r93+gbe2efb69b-1
libqalculate 5.8.2-1
libraqm 0.10.3-1
libraw1394 2.1.2-4
librsvg 2:2.61.3-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.20-1
libsonic 0.2.0-2
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspeechd 0.12.1-2
libssh 0.11.3-1
libssh2 1.11.1-1
libstemmer 3.0.1-1
libsysprof-capture 49.0-1
libtasn1 4.20.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.1-1
libtirpc 1.3.7-1
libtool 2.6.0-1
libtorrent-rasterbar 1:2.0.11-5
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.2-1
liburing 2.12-1
libusb 1.0.29-1
libusbmuxd 2.1.1-1
libutf8proc 2.10.0-2
libuv 1.51.0-1
libva 2.22.0-1
libva-intel-driver 2.4.1-5
libvdpau 1.5-3
libverto 0.3.2-5
libvlc 3.0.21-32
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.2-2
libvterm 0.3.3-2
libwacom 2.17.0-1
libwebp 1.6.0-2
libwireplumber 0.5.12-1
libwnck3 43.3-1
libx11 1.8.12-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.1.3-1
libxklavier 5.4-7
libxml2 2.15.1-4
libxmlb 0.3.24-1
libxmu 1.2.1-1
libxnvctrl 580.105.08-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-1
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.26.2-1
linux 6.17.9.arch1-1
linux-api-headers 6.17-1
linux-firmware 20251125-2
linux-firmware-amdgpu 20251125-2
linux-firmware-atheros 20251125-2
linux-firmware-broadcom 20251125-2
linux-firmware-cirrus 20251125-2
linux-firmware-intel 20251125-2
linux-firmware-mediatek 20251125-2
linux-firmware-nvidia 20251125-2
linux-firmware-other 20251125-2
linux-firmware-radeon 20251125-2
linux-firmware-realtek 20251125-2
linux-firmware-whence 20251125-2
llhttp 9.2.1-2
llvm-libs 21.1.6-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lsb-release 2.0.r55.a25a4fc-1
lshw B.02.20-1
lsof 4.99.5-2
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1765228720+7152e15-1
lv2 1.18.10-2
ly 1.2.0-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
man-pages 6.16-1
mate-polkit 1.28.1-2
matugen-git 3.0.0.r15.ge216c4b-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
mesa 1:25.3.1-2
mesa-utils 9.0.0-7
meson 1.10.0-1
minizip 1:1.3.1-2
mkinitcpio 40-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.3-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
nano 8.7-1
ncurses 6.5-4
neovim 0.11.5-1
netstandard-targeting-pack 1:2.1.0-2
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.2-1
networkmanager-openvpn 1.12.3-1
networkmanager-vpn-plugin-openvpn 1.12.3-1
nexusmods-app-bin 0.21.1-1
nftables 1:1.1.6-1
ninja 1.13.2-1
nm-connection-editor 1.36.0-1
node-gyp 12.1.0-1
nodejs 25.2.1-1
nodejs-nopt 7.2.1-1
noto-fonts-cjk 20240730-1
npm 11.6.4-1
npth 1.8-1
nspr 4.38.2-1
nss 3.119-1
numactl 2.0.19-1
nwg-displays 0.3.26-1
nwg-look 1.0.6-1
obsidian 1.10.6-1
ocl-icd 2.3.4-1
oh-my-posh-bin 28.1.1-1
oniguruma 6.9.10-1
opencl-amd 1:7.1.1-1
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openssh 10.2p1-2
openssl 3.6.0-1
openssl-1.1 1.1.1.w-2
openvpn 2.6.17-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.41-1
orca 49.5-1
os-prober 1.83-1
otf-font-awesome 7.1.0-1
p11-kit 0.25.10-2
paccache-hook 1.2.0-1
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20251021-1
paho-mqtt-c 1.3.14-2
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
paru 2.1.0-1
patch 2.8-1
pavucontrol 1:6.2-1
pcaudiolib 1.3-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
perl 5.42.0-1
perl-clone 0.47-2
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-file-listing 6.16-5
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.01-1
perl-http-negotiate 6.01-15
perl-io-html 1.004-7
perl-libwww 6.81-1
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-net-http 6.24-1
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-uri 5.34-1
perl-www-robotrules 6.02-15
perl-xml-parser 2.47-3
pinentry 1.3.2-2
pinta 3.0.5-2
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
playerctl 2.4.1-4
plymouth 24.004.60-14
plymouth-theme-dark-arch 20151130-2
polkit 126-2
polkit-gnome 0.105-12
polkit-qt6 0.200.0-1
popt 1.19-2
portaudio 1:19.7.0-3
power-profiles-daemon 0.30-1
powerpanel 1.4.1-3
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protobuf 33.1-1
protobuf-c 1.5.2-8
proton-vpn-daemon 0.13.4-3
proton-vpn-gtk-app 4.13.0-1
psmisc 23.7-1
pugixml 1.15-2
python 3.13.11-1
python-aiohappyeyeballs 2.6.1-1
python-aiohttp 3.13.2-1
python-aiosignal 1.4.0-1
python-attrs 25.4.0-1
python-autocommand 2.2.2-7
python-bcc 0.35.0-6
python-bcrypt 5.0.0-1
python-beautifulsoup4 4.14.3-1
python-cairo 1.29.0-1
python-certifi 2025.11.12-1
python-cffi 2.0.0-1
python-charset-normalizer 3.4.4-1
python-click 8.2.1-1
python-configobj 5.0.9-5
python-cryptography 46.0.3-1
python-dasbus 1.7-4
python-dbus 1.4.0-1
python-dbus-fast 2.44.3-1
python-distro 1.9.0-3
python-evdev 1.9.2-1
python-fido2 2.0.0-1
python-filelock 3.20.0-1
python-frozenlist 1.8.0-1
python-gnupg 0.5.5-1
python-gobject 3.54.5-1
python-i3ipc 2.2.1-8
python-idna 3.11-1
python-imageio 2.37.2-1
python-imageio-ffmpeg 0.6.0-2
python-importlib-metadata 8.7.0-1
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-jinja 1:3.1.6-1
python-keyring 25.7.0-1
python-lxml 6.0.2-1
python-mako 1.3.10-1
python-markdown 3.10.0-1
python-markupsafe 3.0.2-1
python-more-itertools 10.8.0-1
python-multidict 6.7.0-1
python-numpy 2.3.5-1
python-packaging 25.0-1
python-pillow 12.0.0-2
python-pip 25.3-1
python-platformdirs 4.5.1-1
python-propcache 0.4.1-1
python-proton-core 0.7.0-2
python-proton-keyring-linux 0.2.1-2
python-proton-vpn-api-core 4.13.2-1
python-proton-vpn-local-agent 1.6.0-1
python-proton-vpn-network-manager 0.13.4-2
python-psutil 7.1.3-1
python-pycparser 2.23-1
python-pygments 2.19.2-1
python-pynacl 1.6.1-1
python-pyopenssl 25.3.0-1
python-pyudev 0.24.3-2
python-pywalfox 2.7.4-1
python-pyxdg 0.28-4
python-requests 2.32.5-1
python-requests-file 2.1.0-2
python-screeninfo 0.8.1-2
python-secretstorage 3.3.3-6
python-sentry_sdk 2.47.0-1
python-setproctitle 1.3.7-1
python-setuptools 1:80.9.0-2
python-six 1.17.0-1
python-soupsieve 2.8-1
python-tldextract 5.3.0-1
python-tqdm 4.67.1-2
python-typing_extensions 4.15.0-1
python-urllib3 2.6.1-1
python-wheel 0.45.1-1
python-xlib 0.33-4
python-yaml 6.0.3-1
python-yarl 1.22.0-1
python-zipp 3.21.0-2
qbittorrent 5.1.4-1
qca-qt6 2.3.10-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt6-5compat 6.10.1-1
qt6-base 6.10.1-1
qt6-declarative 6.10.1-2
qt6-shadertools 6.10.1-1
qt6-svg 6.10.1-1
qt6-translations 6.10.1-1
qt6-wayland 6.10.1-1
qt6ct 0.11-3
qtkeychain-qt6 0.15.0-3
quickshell 0.2.1-3
radeontop 1.4-3
rav1e 0.8.1-2
re2 1:20240702-7
readline 8.3.001-1
reflector 2023-3
ripgrep 15.1.0-1
rtkit 0.13-3
rubberband 4.0.0-1
runc 1.4.0-1
satty 0.20.0-1
sbc 2.1-1
sdbus-cpp 2.2.1-1
sdl2-compat 2.32.60-1
sdl3 3.2.28-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.3-1
serd 0.32.6-1
shaderc 2025.4-2
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:4.2.2-1
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
snapper 0.13.0-2
snappy 1.2.2-2
sndio 1.10.0-1
solaar 1.1.17-1
solid 6.20.0-1
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-16
sox 14.7.0.3-1
spdlog 1.16.0-1
speech-dispatcher 0.12.1-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.328.1-1
spotify 1:1.2.77.358-1
spotify-adblock 1:1.0.3-2
sqlite 3.51.1-1
sratom 0.6.20-1
srt 1.5.4-1
startup-notification 0.12-9
steam 1.0.0.85-1
sudo 1.9.17.p2-1
svt-av1 3.1.2-1
swaybg 1.2.1-1
swayidle 1.9.0-1
swaync 0.12.3-1
swayosd 0.2.1-2
swww 0.11.2-1
syndication 6.20.0-1
systemd 258.2-2
systemd-libs 258.2-2
systemd-sysvcompat 258.2-2
taglib 2.1.1-1
tar 1.35-2
tdb 1.4.14-1
tealdeer 1.8.1-1
texinfo 7.2-1
tinysparql 3.10.1-2
tomlplusplus 3.4.0-1
topgrade-bin 16.6.1-1
tpm2-tss 4.1.3-1
trashy 2.0.0-2
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fira-code 6.2-2
ttf-fira-sans 1:4.301-2
ttf-firacode-nerd 3.4.0-1
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-material-symbols-variable 2.874-1
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-roboto 3.013-1
twolame 0.4.0-4
tzdata 2025b-1
udisks2 2.11.0-1
unibilium 2.1.2-1
update-grub 0.0.1-8
upower 1.91.0-1
usbutils 019-1
util-linux 2.41.2-1
util-linux-libs 2.41.2-1
uwsm 0.25.2-1
v4l-utils 1.32.0-1
